codigo;grupo;descripcion;unidad;precio_actual;moneda;estado;partidas_que_lo_usan;peso_en_catalogo_usd;precio_nuevo;notas
MT-PYL-CANAL;materiales;Canal de acero galvanizado de 70 mm para arranque y remate de tabique autoportante.;m;1.7000;USD;verificado-mercado;5;7.22;;
MT-TORN-TECHO;materiales;Tornillo autoperforante con arandela de neopreno para fijación de láminas de cubierta.;ud;0.1800;USD;provisional;6;7.20;;
MT-AISL-TERM;materiales;Panel de aislamiento térmico de poliestireno o lana mineral para cubiertas y cielos.;m2;4.8000;USD;provisional;2;7.01;;
MT-PIN-CAUCHO;materiales;Pintura de caucho acrílico mate lavable para interiores, base blanca tintable.;l;3.9500;USD;verificado-mercado;6;6.91;;
MT-DINTEL-PREF;materiales;Dintel prefabricado de concreto armado para vanos de puerta y ventana.;m;6.5000;USD;provisional;1;6.83;;
MT-ENDURECEDOR;materiales;Endurecedor superficial de cuarzo y cemento para pisos de concreto de alto tránsito.;kg;0.8500;USD;provisional;2;6.80;;
MT-ANCLA-MURO;materiales;Conector o anclaje metálico de amarre de pared a estructura de concreto.;ud;0.6500;USD;provisional;9;6.79;;
MT-MOLDURA-YESO;materiales;Moldura corrida de yeso o poliuretano para remates decorativos, con su pasta de agarre.;m;3.2000;USD;provisional;2;6.78;;
MT-CRU-NIV;materiales;Sistema de crucetas y cuñas niveladoras de un solo uso para colocación de baldosa.;ud;0.0900;USD;provisional;12;6.57;;
MT-BLQ-12;materiales;Bloque de concreto hueco de 12x20x40 cm.;ud;0.5200;USD;verificado-mercado;1;6.55;;
MT-CINTA-LED;materiales;Cinta LED con su fuente de alimentación y perfil de aluminio disipador.;m;6.2000;USD;provisional;1;6.51;;
MT-TOMA-DATOS;materiales;Toma de datos o televisión con su placa y conector.;ud;6.5000;USD;provisional;1;6.50;;
MT-BLQ-ARC-10;materiales;Bloque hueco de arcilla de 10x20x30 cm.;ud;0.3800;USD;verificado-mercado;1;6.38;;
MQ-PULIDORA;maquinaria;Pulidora y abrillantadora de piedra natural con aporte de agua.;h;4.5000;USD;provisional;4;6.30;;
MT-GAS-REFRIG;materiales;Gas refrigerante para carga de equipos de climatización.;kg;18.0000;USD;provisional;1;6.30;;
MT-BARNIZ-PISO;materiales;Barniz de poliuretano de alto tránsito para acabado de pisos de madera.;l;9.5000;USD;verificado-mercado;3;6.17;;
MT-BLQ-10;materiales;Bloque de concreto hueco de 10x20x40 cm para tabiquería no estructural.;ud;0.4800;USD;verificado-mercado;1;6.14;;
MT-IMPERM-ASF;materiales;Impermeabilizante asfáltico en emulsión para protección de fundaciones y trasdós de muros.;l;4.5000;USD;provisional;1;6.08;;
MT-MALLA-OBRA;materiales;Malla plástica de señalización para cerramiento perimetral y delimitación de zonas de obra.;m2;0.9000;USD;provisional;5;6.03;;
MQ-LIJAD;maquinaria;Lijadora de pared con aspiración para acabado de juntas.;h;2.1000;USD;provisional;23;6.01;;
MT-PIN-FONDO;materiales;Fondo fijador o sellador acrílico al agua, para consolidar y regular la absorción de paramentos interiores.;l;5.0000;USD;verificado-mercado;11;6.00;;
MT-HIDROFUGO;materiales;Aditivo hidrófugo de masa para morteros de friso en exteriores y áreas húmedas.;l;4.2000;USD;provisional;5;5.84;;
MT-ADH-VINIL;materiales;Adhesivo acrílico para revestimientos flexibles de piso, vinílico y linóleo.;kg;2.8000;USD;provisional;5;5.82;;
MT-ADITIVO;materiales;Aditivo plastificante y reductor de agua para concreto.;l;3.2000;USD;provisional;1;5.76;;
MT-TIERRA-ABON;materiales;Tierra abonada y sustrato para jardinería.;m3;28.0000;USD;provisional;2;5.74;;
MT-GRAVILLA;materiales;Gravilla lavada de protección para cubiertas impermeabilizadas.;m3;24.0000;USD;provisional;5;5.64;;
MT-SELLA-FISURA;materiales;Sellador elástico de fisuras en base a poliuretano o acrílico para exteriores.;kg;4.8000;USD;provisional;3;5.62;;
MT-CANON-TIERRA;materiales;Canon de vertido de tierra y material de excavación en botadero autorizado.;m3;2.8000;USD;provisional;2;5.60;;
MT-BAJANTE-PVC;materiales;Bajante de PVC para aguas lluvias, con sus abrazaderas y codos.;m;5.2000;USD;provisional;1;5.51;;
MT-ANCLA-PIEDRA;materiales;Anclaje metálico de acero inoxidable para fijación mecánica de piezas de piedra natural.;ud;1.3000;USD;provisional;1;5.46;;
MT-JUNTA-DILAT;materiales;Perfil de junta de dilatación para piso, con su elemento elástico.;m;5.2000;USD;provisional;1;5.46;;
MQ-ESMERIL;maquinaria;Esmeriladora y cepillo de púas para limpieza y preparación de superficies metálicas.;h;2.3000;USD;provisional;11;5.28;;
MT-CONC-180;materiales;Concreto premezclado de resistencia 180 kg/cm2, puesto en obra.;m3;95.0000;USD;verificado-mercado;1;5.22;;
MT-TUBO-DREN;materiales;Tubería de drenaje perforada corrugada con geotextil, para drenaje de trasdós de muro.;m;3.6000;USD;provisional;2;5.04;;
MT-CINTA-ANTIDES;materiales;Cinta o perfil antideslizante para narices de peldaño.;m;4.6000;USD;provisional;1;4.83;;
MT-CABLE-DATOS;materiales;Cable de datos categoría 6 para redes y telecomunicaciones.;m;0.3000;USD;verificado-mercado;1;4.80;;
MT-CORNISA;materiales;Perfil de cornisa para iluminación indirecta en cielo raso.;m;4.5000;USD;provisional;1;4.77;;
MT-BARANDA-PROV;materiales;Baranda provisional de borde con guardacuerpos, pasamanos y rodapié, amortizada por usos.;m;4.5000;USD;provisional;1;4.72;;
MQ-DETECTOR;maquinaria;Detector electrónico de instalaciones empotradas, para localizar tuberías, cables y armaduras sin picar.;h;2.6000;USD;provisional;5;4.60;;
MQ-RECUP-GAS;maquinaria;Equipo de recuperación de gas refrigerante y bomba de vacío para climatización.;h;6.5000;USD;provisional;1;4.55;;
MT-DESMOLD;materiales;Desmoldeante para encofrados, que facilita el desencofrado y protege la madera.;l;2.8000;USD;provisional;17;4.54;;
MT-ALAMBRE;materiales;Alambre recocido para amarre de acero de refuerzo.;kg;1.9000;USD;provisional;25;4.51;;
MT-PLO-LLAVE;materiales;Llave de paso de PPR de 20 mm, de esfera, para empotrar.;ud;4.5000;USD;provisional;1;4.50;;
MT-PYL-BANDA;materiales;Banda estanca autoadhesiva de polietileno para junta perimetral de tabique.;m;0.4200;USD;provisional;7;4.45;;
MT-PASIVANTE;materiales;Recubrimiento pasivante de base cementosa con inhibidor, para protección de acero de refuerzo corroído.;l;9.8000;USD;provisional;1;3.92;;
MT-ESCALERILLA;materiales;Escalerilla o junta de refuerzo horizontal para mampostería.;m;1.1500;USD;provisional;2;3.91;;
MT-PIN-LIJA;materiales;Lija, cinta de enmascarar y plástico de protección. Consumibles de preparación y protección.;ud;0.8500;USD;provisional;23;3.91;;
MQ-CIZALLA;maquinaria;Cizalla y dobladora de cabillas, incluida su amortización.;h;2.1000;USD;provisional;24;3.82;;
MT-MADERA-ENTIB;materiales;Tablón y puntal de madera para entibado de zanja, con amortización por número de usos.;m2;3.4000;USD;provisional;1;3.74;;
MQ-TERMOF;maquinaria;Termofusora para tubería de polipropileno PPR, incluida amortización.;h;1.8000;USD;provisional;10;3.65;;
MT-MORT-EST;materiales;Mortero de pega de resistencia controlada para mampostería estructural, elaborado en obra, dosificación 1:3.;m3;123.6020;USD;derivado;2;3.65;;
MT-PROT-CARTON;materiales;Cartón corrugado en rollo para protección de pisos y superficies terminadas durante la obra.;m2;0.4500;USD;provisional;4;3.61;;
MT-AISL-REFLECT;materiales;Manta reflectiva de doble burbuja con foil de aluminio, para aislamiento bajo techo.;m2;3.2000;USD;provisional;1;3.52;;
MT-CANON;materiales;Canon de vertido en vertedero o botadero autorizado.;m3;3.5000;USD;provisional;1;3.50;;
MT-GRAMA;materiales;Grama en panes o alfombra, puesta en obra.;m2;3.2000;USD;provisional;1;3.39;;
MQ-HIDROLAV;maquinaria;Hidrolavadora de presión para limpieza de fachadas, pisos y acabados.;h;4.2000;USD;provisional;8;3.32;;
MT-SELLA-CONC;materiales;Sellador acrílico de protección y realce para pisos de concreto y estampados.;l;6.4000;USD;provisional;2;3.20;;
MT-PIN-ESMALTE;materiales;Esmalte sintético brillante para carpintería metálica y de madera.;l;7.4000;USD;verificado-mercado;2;3.11;;
MT-ASPERSOR;materiales;Aspersor o gotero con su conexión a la red de riego.;ud;8.5000;USD;provisional;1;2.98;;
MT-RED-SEG;materiales;Red de seguridad de poliamida con sus cuerdas de atado, amortizada por usos.;m2;2.8000;USD;provisional;1;2.97;;
MT-PLATINA-DIV;materiales;Platina divisoria de aluminio o bronce para juntas de granito vaciado en sitio.;m;2.1000;USD;provisional;1;2.94;;
MT-POLIET;materiales;Lámina de polietileno de alta densidad como barrera de vapor bajo losas de piso.;m2;0.6500;USD;provisional;4;2.91;;
MT-MALLA-ESQ;materiales;Cantonera metálica de esquina y malla de refuerzo para encuentros de friso.;m;0.7000;USD;provisional;6;2.77;;
MT-HIDROFUG-FACH;materiales;Hidrofugante incoloro de impregnación para protección de fachadas.;l;8.6000;USD;provisional;1;2.75;;
MT-PROT-PLAST;materiales;Lámina de polietileno para protección de mobiliario, cerramiento de ambientes y barreras antipolvo.;m2;0.2800;USD;provisional;9;2.63;;
MQ-BATID;maquinaria;Batidora mezcladora eléctrica de doble varilla para amasado de morteros y adhesivos.;h;1.6000;USD;provisional;25;2.58;;
MT-REFUERZO-PYL;materiales;Refuerzo interior de madera o perfil metálico para anclaje de cargas en tabique de yeso laminado.;m;3.2000;USD;provisional;1;2.56;;
MQ-BOMBA-ACHI;maquinaria;Bomba sumergible de achique con manguera de descarga, para agotamiento de excavaciones.;h;2.4000;USD;provisional;1;2.40;;
MT-PIN-MASILLA;materiales;Masilla de reparación en pasta para alisado de paramentos interiores.;kg;1.5000;USD;verificado-mercado;7;2.27;;
MQ-RODILLO;maquinaria;Equipo de aplicación de pintura: rodillos, brochas, cubetas y andamio bajo.;h;0.9000;USD;provisional;15;2.12;;
MT-LIMP-QUIM;materiales;Limpiador químico específico para fachadas, según el tipo de soporte y de mancha.;l;9.4000;USD;provisional;1;2.07;;
MT-CINTA-ENM;materiales;Rollo de cinta de enmascarar y cinta adhesiva de embalaje para fijación de protecciones.;ud;1.2000;USD;provisional;15;2.06;;
MQ-COMPACT-SALTO;maquinaria;Compactador vibratorio de impacto tipo canguro, para compactación de zanjas y espacios reducidos.;h;4.5000;USD;provisional;2;2.02;;
MT-DESMOLD-COLOR;materiales;Desmoldeante en polvo con pigmento para concreto estampado.;kg;3.6000;USD;provisional;1;1.98;;
MT-IMPRIM-ASF;materiales;Imprimación asfáltica de base solvente, como puente de adherencia del manto.;l;4.2000;USD;verificado-mercado;2;1.97;;
MQ-PLANCHA-COMP;maquinaria;Plancha compactadora vibratoria, para compactación de superficies y bases.;h;3.8000;USD;provisional;6;1.92;;
MT-CONS-LIMP;materiales;Consumibles de limpieza final: detergentes, desincrustantes, paños y bolsas.;m2;0.3500;USD;provisional;12;1.83;;
MQ-LIJAD-PISO;maquinaria;Lijadora de banda y orilladora para pisos de madera, con aspiración.;h;6.5000;USD;provisional;1;1.82;;
MQ-PROYECT-MORT;maquinaria;Máquina de proyección de mortero y pasta de yeso, con su compresor y mangueras.;h;6.8000;USD;provisional;2;1.70;;
MT-TUB-RIEGO;materiales;Tubería de polietileno y accesorios para red de riego.;m;1.6000;USD;provisional;1;1.70;;
MQ-DOBLAD-TUBO;maquinaria;Dobladora y abocardadora de tubería de cobre para climatización y gas.;h;2.6000;USD;provisional;3;1.61;;
MT-SEPARADOR;materiales;Separador plástico o de mortero para garantizar el recubrimiento del acero de refuerzo.;ud;0.0800;USD;provisional;16;1.47;;
MT-MANTA-ACUS;materiales;Manta acústica de polietileno reticulado para piso laminado flotante.;m2;1.3000;USD;provisional;1;1.40;;
MT-ZIPPER;materiales;Cierre tipo cremallera autoadhesivo para paso de personal a través de barrera antipolvo.;ud;3.8000;USD;provisional;1;1.33;;
MT-PINT-TRAFICO;materiales;Pintura de tráfico para demarcación de pisos y estacionamientos.;l;9.2000;USD;provisional;1;1.20;;
MT-DECAP;materiales;Decapante químico en gel para eliminación de capas de pintura en paramentos.;l;6.5000;USD;provisional;1;1.17;;
MQ-ALISADORA;maquinaria;Alisadora mecánica de concreto tipo helicóptero, para acabado de losas.;h;5.2000;USD;provisional;3;1.12;;
MT-FUNGICIDA;materiales;Solución fungicida y algicida para tratamiento de moho y verdín en fachadas.;l;6.2000;USD;provisional;1;1.12;;
MQ-INYECTORA;maquinaria;Equipo de inyección de resinas a baja presión, con sus boquillas y mangueras.;h;4.2000;USD;provisional;1;1.09;;
MT-AGUA-OBRA;materiales;Agua para amasado, humectación de rellenos y compactación.;m3;1.6000;USD;provisional;16;1.01;;
MQ-VENT-SUC;maquinaria;Juego de ventosas de elevación para manipulación de piezas de gran formato.;h;2.8000;USD;provisional;2;0.87;;
MT-PEGA-MURAL;materiales;Pegamento mural para papel tapiz y revestimientos textiles.;kg;3.1000;USD;provisional;1;0.87;;
MQ-ESTAMP;maquinaria;Juego de moldes estampadores y rodillos para concreto impreso.;h;4.8000;USD;provisional;1;0.72;;
MT-DISOL-ADH;materiales;Disolvente removedor de adhesivos para levantado de pisos vinílicos y alfombras.;l;5.2000;USD;provisional;2;0.68;;
MT-IMP-PRIM;materiales;Imprimación tapaporos de resinas acrílicas en dispersión acuosa, para regular la absorción del soporte.;l;3.8000;USD;provisional;1;0.68;;
MT-VAPOR;materiales;Solución humectante para reblandecimiento de papel tapiz y pegamentos murales.;l;2.4000;USD;provisional;1;0.53;;
MT-LAMP-OBRA;materiales;Reflector o lámpara de obra con su portalámparas y protección, amortizado por uso.;ud;9.5000;USD;provisional;1;0.52;;
MQ-NIVEL-LASER;maquinaria;Nivel láser autonivelante y equipo de medición para replanteo.;h;2.2000;USD;provisional;6;0.40;;
MT-TORNILLO-EST;materiales;Tornillería estructural de alta resistencia con tuerca y arandelas.;ud;1.2000;USD;provisional;4;0.25;;
MT-PER-BANDA;materiales;Banda perimetral de polietileno expandido de 10 mm para desolidarizar el afirmado de los paramentos.;m;0.5500;USD;provisional;1;0.22;;
MQ-DESBROZ;maquinaria;Desbrozadora de motor con hilo y disco, para limpieza de vegetación.;h;2.7000;USD;provisional;2;0.15;;
MT-ADH-C1;materiales;Adhesivo cementoso normal tipo C1, color gris, para colocación de cerámica en capa fina.;kg;0.2400;USD;verificado-mercado;0;0.00;;
MO-AYU;mano_obra;Ayudante.;h;3.5000;USD;confirmado;489;907.79;;
MO-OF1-ALB;mano_obra;Oficial de 1ª albañil.;h;5.5000;USD;confirmado;172;616.56;;
MO-AYU-ESP;mano_obra;Ayudante especializado.;h;4.0000;USD;confirmado;174;345.90;;
MO-OF1-CARPM;mano_obra;Oficial de 1ª carpintero de madera estructural.;h;5.5000;USD;confirmado;39;262.13;;
MO-OF1-ELE;mano_obra;Oficial de 1ª electricista.;h;5.5000;USD;confirmado;36;253.52;;
MO-OF1-PLO;mano_obra;Oficial de 1ª plomero.;h;5.5000;USD;confirmado;33;221.10;;
MO-OF1-PISO;mano_obra;Oficial de 1ª colocador de pisos.;h;5.5000;USD;confirmado;33;103.29;;
MO-OF1-CARP;mano_obra;Oficial de 1ª carpintero de obra (encofrador).;h;5.5000;USD;confirmado;23;92.78;;
MO-OF1-PISOD;mano_obra;Oficial de 1ª soldador.;h;5.5000;USD;confirmado;18;77.72;;
MO-OF1-MON;mano_obra;Oficial de 1ª montador de prefabricados interiores.;h;5.5000;USD;confirmado;29;71.50;;
MO-OF1-VIDR;mano_obra;Oficial de 1ª vidriero.;h;5.5000;USD;confirmado;10;53.24;;
MO-OF1-PIN;mano_obra;Oficial de 1ª pintor.;h;5.5000;USD;confirmado;27;46.75;;
MO-OF1-AC;mano_obra;Oficial de 1ª técnico en refrigeración y climatización.;h;5.5000;USD;confirmado;7;45.21;;
MO-OF1-CAB;mano_obra;Oficial de 1ª cabillero (armador de acero de refuerzo).;h;5.5000;USD;confirmado;27;43.54;;
MO-OF1-ALI;mano_obra;Oficial de 1ª alicatador.;h;5.5000;USD;confirmado;12;33.55;;
MO-OF1-JARD;mano_obra;Oficial de 1ª jardinero.;h;5.5000;USD;confirmado;3;6.11;;
MO-OF1;mano_obra;Oficial de 1ª.;h;5.5000;USD;confirmado;0;0.00;;
