codigo;capitulo;titulo;unidad;mano_obra;horas_oficial_por_unidad;horas_ayudante_por_unidad;horas_persona_por_unidad;horas_equipo_por_unidad;recursos;recursos_provisionales_ve;codigos_provisionales_ve;coste_directo_ve_usd;precio_venta_ve_usd;descripcion_caracteres;codigo_legacy;apu_duplicado
02.10.03.020;02;Demolición de cielo raso de yeso vaciado o pasta.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.2300 h/m² | MO-AYU · apoyo general de obra · 0.2500 h/m²;0.0000;0.4800;0.4800;0.4300;8;5;MQ-ANDAMIO,MQ-ASPIR,MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;3.79;4.92;638;CT-02-03-020;
02.10.03.030;02;Desmontaje de cielo raso desmontable de fibra mineral.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0800 h/m² | MO-AYU · apoyo general de obra · 0.1000 h/m²;0.0000;0.1800;0.1800;0.1500;6;3;MQ-ANDAMIO,MQ-ASPIR,MT-SAC-ESC;1.26;1.64;633;CT-02-03-030;
02.10.03.040;02;Desmontaje de cielo raso de machihembrado de madera.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.1600 h/m² | MO-AYU · apoyo general de obra · 0.1800 h/m²;0.0000;0.3400;0.3400;0.2000;7;4;MQ-ANDAMIO,MQ-ASPIR,MT-CONS-DEM,MT-SAC-ESC;2.17;2.82;606;CT-02-03-040;
02.10.03.050;02;Desmontaje de cielo raso de láminas de PVC o aluminio.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0900 h/m² | MO-AYU · apoyo general de obra · 0.1100 h/m²;0.0000;0.2000;0.2000;0.1600;6;3;MQ-ANDAMIO,MQ-ASPIR,MT-SAC-ESC;1.34;1.74;576;CT-02-03-050;
02.10.03.060;02;Picado de friso en techo o cara inferior de losa.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.3100 h/m² | MO-AYU · apoyo general de obra · 0.3300 h/m²;0.0000;0.6400;0.6400;0.6100;8;5;MQ-ANDAMIO,MQ-ASPIR,MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;4.90;6.37;612;CT-02-03-060;
02.10.04.010;02;Demolición de trasdosado de yeso laminado y su estructura.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.1500 h/m² | MO-AYU · apoyo general de obra · 0.1800 h/m²;0.0000;0.3300;0.3300;0.0800;6;3;MQ-ASPIR,MT-CONS-DEM,MT-SAC-ESC;1.97;2.56;675;CT-02-04-010;
02.10.04.020;02;Demolición de trasdosado de bloque o ladrillo adosado a muro.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.3000 h/m² | MO-AYU · apoyo general de obra · 0.3200 h/m²;0.0000;0.6200;0.6200;0.4000;7;4;MQ-ASPIR,MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;4.78;6.22;661;CT-02-04-020;
02.10.04.030;02;Desmontaje de trasdosado directo de placa pegada al muro.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.1900 h/m² | MO-AYU · apoyo general de obra · 0.2300 h/m²;0.0000;0.4200;0.4200;0.0900;6;3;MQ-ASPIR,MT-CONS-DEM,MT-SAC-ESC;2.40;3.13;578;CT-02-04-030;
02.10.05.010;02;Retiro de papel tapiz en paramento.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.1100 h/m² | MO-AYU · apoyo general de obra · 0.1400 h/m²;0.0000;0.2500;0.2500;0.0000;5;2;MT-CONS-DEM,MT-VAPOR;1.69;2.20;625;CT-02-05-010;
02.10.05.020;02;Desmontaje de moldura decorativa de yeso o poliestireno.;m;MO-AYU-ESP · apoyo especializado de obra · 0.0600 h/m | MO-AYU · apoyo general de obra · 0.0700 h/m;0.0000;0.1300;0.1300;0.0400;6;3;MQ-ANDAMIO,MT-CONS-DEM,MT-SAC-ESC;0.71;0.93;612;CT-02-05-020;
02.10.05.030;02;Retiro de láminas decorativas, vinilos o espejos adheridos.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0700 h/m² | MO-AYU · apoyo general de obra · 0.0800 h/m²;0.0000;0.1500;0.1500;0.0000;6;3;MT-CONS-DEM,MT-DISOL-ADH,MT-SAC-ESC;1.24;1.61;673;CT-02-05-030;
02.10.06.010;02;Demolición de revestimiento cerámico de escalera.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.4000 h/m² | MO-AYU · apoyo general de obra · 0.4500 h/m²;0.0000;0.8500;0.8500;0.4700;7;4;MQ-ASPIR,MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;5.58;7.25;729;CT-02-06-010;
02.10.06.020;02;Demolición de revestimiento de granito o piedra natural en escalera.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.4700 h/m² | MO-AYU · apoyo general de obra · 0.5100 h/m²;0.0000;0.9800;0.9800;0.5400;7;4;MQ-ASPIR,MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;6.60;8.57;696;CT-02-06-020;
02.10.06.030;02;Demolición de zócalo escalonado de escalera.;m;MO-AYU-ESP · apoyo especializado de obra · 0.1000 h/m | MO-AYU · apoyo general de obra · 0.1200 h/m;0.0000;0.2200;0.2200;0.0800;6;3;MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;1.37;1.78;529;CT-02-06-030;
02.10.06.040;02;Demolición de escalera de concreto armado.;m²;MO-OF1-ALB · albañilería · 0.7000 h/m² | MO-AYU-ESP · apoyo especializado de obra · 0.9000 h/m² | MO-AYU · apoyo general de obra · 1.0000 h/m²;0.7000;1.9000;2.6000;1.2500;12;7;MQ-ASPIR,MQ-MART-NEUM,MQ-MONTAC,MQ-OXICORTE,MT-CONS-DEM,MT-OXI-CONS,MT-SAC-ESC;26.49;34.44;688;CT-02-06-040;
02.11.01.010;02;Desmontaje de mueble de baño y sus accesorios.;ud;MO-OF1-PLO · plomería · 0.4800 h/ud | MO-AYU · apoyo general de obra · 0.4800 h/ud;0.4800;0.4800;0.9600;0.1400;6;3;MQ-ATORN,MT-CONS-DEM,MT-SAC-ESC;5.39;7.00;702;CT-02-14-010;
02.11.01.020;02;Desmontaje de mueble de cocina alto o bajo.;m;MO-OF1-ALB · albañilería · 0.3200 h/m | MO-AYU · apoyo general de obra · 0.3400 h/m;0.3200;0.3400;0.6600;0.1800;6;3;MQ-ATORN,MT-CONS-DEM,MT-SAC-ESC;4.02;5.22;744;CT-02-14-020;
02.11.01.030;02;Desmontaje de mesón de cocina y su salpicadero.;m;MO-OF1-ALB · albañilería · 0.4800 h/m | MO-AYU · apoyo general de obra · 0.4800 h/m;0.4800;0.4800;0.9600;0.3300;8;4;MQ-AMOLA,MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;6.87;8.93;767;CT-02-14-030;
02.11.01.040;02;Desmontaje de mobiliario fijo diverso.;m²;MO-OF1-ALB · albañilería · 0.3400 h/m² | MO-AYU · apoyo general de obra · 0.3600 h/m²;0.3400;0.3600;0.7000;0.3700;8;5;MQ-AMOLA,MQ-ATORN,MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;5.03;6.54;744;CT-02-14-040;
02.11.01.050;02;Desmontaje de closet empotrado.;ud;MO-OF1-CARPM · carpintería de madera · 0.6000 h/ud | MO-AYU · apoyo general de obra · 0.5000 h/ud;0.6000;0.5000;1.1000;0.1200;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;5.49;7.14;130;;
02.11.01.060;02;Desmontaje de estante o repisa fija.;ud;MO-OF1-CARPM · carpintería de madera · 0.4000 h/ud | MO-AYU · apoyo general de obra · 0.3000 h/ud;0.4000;0.3000;0.7000;0.1000;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;3.59;4.67;114;;
02.11.01.070;02;Desmontaje de mueble de cocina con piedra.;ud;MO-OF1-CARPM · carpintería de madera · 0.7000 h/ud | MO-AYU · apoyo general de obra · 0.6000 h/ud;0.7000;0.6000;1.3000;0.1200;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;6.49;8.44;131;;
02.11.01.080;02;Desmontaje de campana de cocina.;ud;MO-OF1-ELE · electricidad · 0.4000 h/ud | MO-AYU · apoyo general de obra · 0.3000 h/ud;0.4000;0.3000;0.7000;0.1000;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;3.62;4.71;127;;2
02.11.01.090;02;Desmontaje de mueble de baño empotrado.;ud;MO-OF1-CARPM · carpintería de madera · 0.5000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.5000;0.4000;0.9000;0.1000;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;4.53;5.89;129;;6
02.11.01.100;02;Desmontaje de espejo empotrado.;ud;MO-OF1-VIDR · vidriería · 0.3000 h/ud | MO-AYU · apoyo general de obra · 0.2000 h/ud;0.3000;0.2000;0.5000;0.0800;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;2.65;3.44;110;;
02.11.01.110;02;Desmontaje de barra de cocina.;ud;MO-OF1-CARPM · carpintería de madera · 0.7000 h/ud | MO-AYU · apoyo general de obra · 0.5000 h/ud;0.7000;0.5000;1.2000;0.1200;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;6.14;7.98;120;;
02.11.01.120;02;Desmontaje de mueble de lavadero.;ud;MO-OF1-CARPM · carpintería de madera · 0.5000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.5000;0.4000;0.9000;0.1000;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;4.53;5.89;118;;6
02.11.01.130;02;Desmontaje de tablero o mesón de oficina.;ud;MO-OF1-CARPM · carpintería de madera · 0.5000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.5000;0.4000;0.9000;0.1000;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;4.53;5.89;119;;6
02.11.01.140;02;Desmontaje de perchero o gancho fijo.;ud;MO-OF1-CARPM · carpintería de madera · 0.2000 h/ud | MO-AYU · apoyo general de obra · 0.1500 h/ud;0.2000;0.1500;0.3500;0.0800;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;1.87;2.43;102;;
02.11.01.150;02;Desmontaje de cortinero.;ud;MO-OF1-MON · montaje de prefabricados e instalaciones · 0.2000 h/ud | MO-AYU · apoyo general de obra · 0.1500 h/ud;0.2000;0.1500;0.3500;0.0800;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;1.87;2.43;118;;
02.11.01.160;02;Desmontaje de zapatero empotrado.;ud;MO-OF1-CARPM · carpintería de madera · 0.5000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.5000;0.4000;0.9000;0.1000;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;4.53;5.89;109;;6
02.11.01.170;02;Desmontaje de mueble de cocina alto.;ud;MO-OF1-CARPM · carpintería de madera · 0.5000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.5000;0.4000;0.9000;0.1000;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;4.53;5.89;126;;6
02.11.01.180;02;Desmontaje de mobiliario de baño.;ud;MO-OF1-CARPM · carpintería de madera · 0.5000 h/ud | MO-AYU · apoyo general de obra · 0.4000 h/ud;0.5000;0.4000;0.9000;0.1000;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;4.53;5.89;132;;6
02.11.01.190;02;Desmontaje de repisa de cocina.;ud;MO-OF1-CARPM · carpintería de madera · 0.4000 h/ud | MO-AYU · apoyo general de obra · 0.3000 h/ud;0.4000;0.3000;0.7000;0.0800;5;3;MQ-TALADRO,MT-CONS-DEM,MT-SAC-ESC;3.56;4.63;105;;
02.12.01.010;02;Demolición de brocal o cordón de acera.;m;MO-OF1-ALB · albañilería · 0.1800 h/m | MO-AYU-ESP · apoyo especializado de obra · 0.2800 h/m | MO-AYU · apoyo general de obra · 0.3200 h/m;0.1800;0.6000;0.7800;0.3200;7;3;MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;5.46;7.09;601;CT-02-17-010;
02.12.01.020;02;Demolición de pavimento exterior de concreto.;m²;MO-OF1-ALB · albañilería · 0.1400 h/m² | MO-AYU-ESP · apoyo especializado de obra · 0.2200 h/m² | MO-AYU · apoyo general de obra · 0.2600 h/m²;0.1400;0.4800;0.6200;0.3700;8;4;MQ-AMOLA,MQ-MART-NEUM,MQ-RETRO,MT-CONS-DEM;9.73;12.65;663;CT-02-17-020;
02.12.01.030;02;Demolición de pavimento asfáltico.;m²;MO-OF1-ALB · albañilería · 0.1200 h/m² | MO-AYU-ESP · apoyo especializado de obra · 0.1800 h/m² | MO-AYU · apoyo general de obra · 0.2200 h/m²;0.1200;0.4000;0.5200;0.2100;7;3;MQ-AMOLA,MQ-RETRO,MT-CONS-DEM;6.76;8.79;629;CT-02-17-030;
02.12.01.040;02;Levantado de pavimento de adoquín.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.2500 h/m² | MO-AYU · apoyo general de obra · 0.3000 h/m²;0.0000;0.5500;0.5500;0.0000;4;2;MT-CONS-DEM,MT-SAC-ESC;2.58;3.35;670;CT-02-17-040;
02.12.01.050;02;Demolición de muro de cerca perimetral.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.4000 h/m² | MO-AYU · apoyo general de obra · 0.4400 h/m²;0.0000;0.8400;0.8400;0.4600;8;5;MQ-MART-ELEC,MQ-RETRO,MT-CONS-DEM,MT-OXI-CONS,MT-SAC-ESC;8.66;11.26;651;CT-02-17-050;
02.12.01.060;02;Desmontaje de cerca de malla ciclónica.;m;MO-OF1-ALB · albañilería · 0.1900 h/m | MO-AYU · apoyo general de obra · 0.2300 h/m;0.1900;0.2300;0.4200;0.2600;6;4;MQ-AMOLA,MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;3.17;4.12;613;CT-02-17-060;
02.12.01.070;02;Demolición de tanquilla o registro enterrado.;ud;MO-OF1-ALB · albañilería · 0.8000 h/ud | MO-AYU-ESP · apoyo especializado de obra · 1.0000 h/ud | MO-AYU · apoyo general de obra · 1.2000 h/ud;0.8000;2.2000;3.0000;1.3000;7;4;MQ-MART-ELEC,MQ-RETRO,MT-CONS-DEM,MT-SAC-ESC;25.92;33.70;608;CT-02-17-070;
02.12.01.080;02;Tala y destronque de árbol.;ud;MO-OF1-ALB · albañilería · 2.2000 h/ud | MO-AYU-ESP · apoyo especializado de obra · 2.0000 h/ud | MO-AYU · apoyo general de obra · 2.4000 h/ud;2.2000;4.4000;6.6000;2.7000;7;3;MQ-RETRO,MQ-SIERRA,MT-CONS-DEM;68.53;89.09;683;CT-02-17-080;
02.12.01.090;02;Demolición de jardinera o elemento de obra en exterior.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.3600 h/m² | MO-AYU · apoyo general de obra · 0.4800 h/m²;0.0000;0.8400;0.8400;0.3500;6;4;MQ-MART-ELEC,MQ-RETRO,MT-CONS-DEM,MT-SAC-ESC;6.53;8.48;548;CT-02-17-090;
02.12.01.100;02;Demolición de acera de concreto.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU-ESP · apoyo especializado de obra · 0.7000 h/m2 | MO-AYU · apoyo general de obra · 0.8000 h/m2;0.4000;1.5000;1.9000;1.1000;7;4;MQ-MART-NEUM,MQ-RETRO,MT-CONS-DEM,MT-SAC-ESC;29.13;37.87;118;;
02.12.01.110;02;Demolición de bordillo de acera.;m;MO-OF1-ALB · albañilería · 0.3000 h/m | MO-AYU-ESP · apoyo especializado de obra · 0.4000 h/m | MO-AYU · apoyo general de obra · 0.5000 h/m;0.3000;0.9000;1.2000;0.5000;6;3;MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;7.62;9.90;112;;
02.12.01.120;02;Demolición de rampa de concreto.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU-ESP · apoyo especializado de obra · 0.7000 h/m2 | MO-AYU · apoyo general de obra · 0.8000 h/m2;0.4000;1.5000;1.9000;0.8000;6;3;MQ-MART-NEUM,MT-CONS-DEM,MT-SAC-ESC;18.52;24.08;114;;2
02.12.01.130;02;Levantado de adoquín con recuperación.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.3000 h/m2 | MO-AYU · apoyo general de obra · 0.3500 h/m2;0.0000;0.6500;0.6500;0.2000;5;3;MQ-RETRO,MT-CONS-DEM,MT-SAC-ESC;9.94;12.92;159;;
02.12.01.140;02;Demolición de muro de cerca.;m;MO-OF1-ALB · albañilería · 0.3500 h/m | MO-AYU-ESP · apoyo especializado de obra · 0.6000 h/m | MO-AYU · apoyo general de obra · 0.7000 h/m;0.3500;1.3000;1.6500;0.7000;6;3;MQ-MART-NEUM,MT-CONS-DEM,MT-SAC-ESC;16.10;20.93;110;;
02.12.01.150;02;Desmontaje de cerca de malla.;m;MO-OF1-SOLD · soldadura · 0.3000 h/m | MO-AYU · apoyo general de obra · 0.3000 h/m;0.3000;0.3000;0.6000;0.1500;5;3;MQ-OXICORTE,MT-CONS-DEM,MT-SAC-ESC;3.75;4.88;132;;
02.12.01.160;02;Demolición de pavimento de concreto exterior.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU-ESP · apoyo especializado de obra · 0.8000 h/m2 | MO-AYU · apoyo general de obra · 0.9000 h/m2;0.4000;1.7000;2.1000;1.3000;7;4;MQ-MART-NEUM,MQ-RETRO,MT-CONS-DEM,MT-SAC-ESC;34.81;45.25;118;;
02.12.01.170;02;Demolición de pavimento asfáltico de estacionamiento.;m2;MO-OF1-ALB · albañilería · 0.3500 h/m2 | MO-AYU-ESP · apoyo especializado de obra · 0.6000 h/m2 | MO-AYU · apoyo general de obra · 0.7000 h/m2;0.3500;1.3000;1.6500;1.0000;7;4;MQ-MART-NEUM,MQ-RETRO,MT-CONS-DEM,MT-SAC-ESC;26.70;34.72;107;;
02.12.01.180;02;Demolición de tanquilla o registro.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU-ESP · apoyo especializado de obra · 0.5000 h/m2 | MO-AYU · apoyo general de obra · 0.6000 h/m2;0.4000;1.1000;1.5000;0.6000;6;3;MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;9.50;12.35;110;;
02.12.01.190;02;Demolición de jardinera exterior.;m2;MO-OF1-ALB · albañilería · 0.3500 h/m2 | MO-AYU-ESP · apoyo especializado de obra · 0.5000 h/m2 | MO-AYU · apoyo general de obra · 0.6000 h/m2;0.3500;1.1000;1.4500;0.6000;6;3;MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;9.22;11.99;125;;
02.12.01.200;02;Demolición de base de concreto exterior.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU-ESP · apoyo especializado de obra · 0.7000 h/m2 | MO-AYU · apoyo general de obra · 0.8000 h/m2;0.4000;1.5000;1.9000;0.8000;6;3;MQ-MART-NEUM,MT-CONS-DEM,MT-SAC-ESC;18.52;24.08;120;;2
02.12.01.210;02;Desmontaje de portón exterior.;m;MO-OF1-SOLD · soldadura · 0.8000 h/m | MO-AYU · apoyo general de obra · 0.8000 h/m;0.8000;0.8000;1.6000;0.6000;5;3;MQ-GRUA,MQ-OXICORTE,MT-OXI-CONS;20.09;26.12;117;;
02.12.01.220;02;Demolición de escalera exterior.;m2;MO-OF1-ALB · albañilería · 0.4000 h/m2 | MO-AYU-ESP · apoyo especializado de obra · 0.8000 h/m2 | MO-AYU · apoyo general de obra · 0.9000 h/m2;0.4000;1.7000;2.1000;0.9000;6;3;MQ-MART-NEUM,MT-CONS-DEM,MT-SAC-ESC;20.67;26.87;117;;
02.12.01.230;02;Desmontaje de canal de drenaje exterior.;m;MO-OF1-ALB · albañilería · 0.2000 h/m | MO-AYU · apoyo general de obra · 0.2000 h/m;0.2000;0.2000;0.4000;0.1500;5;3;MQ-MART-ELEC,MT-CONS-DEM,MT-SAC-ESC;2.60;3.38;120;;2
03.01.01.010;03;Limpieza y desbroce manual del terreno.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0450 h/m² | MO-AYU · apoyo general de obra · 0.0700 h/m²;0.0000;0.1150;0.1150;0.0450;5;3;MQ-DESBROZ,MT-CONS-DEM,MT-SAC-ESC;0.83;1.07;599;CT-03-01-010;
03.01.01.020;03;Limpieza y desbroce mecanizado del terreno.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0160 h/m² | MO-AYU · apoyo general de obra · 0.0240 h/m²;0.0000;0.0400;0.0400;0.0240;5;3;MQ-DESBROZ,MQ-RETRO,MT-CONS-DEM;0.70;0.92;685;CT-03-01-020;
03.01.01.030;03;Descapote y retiro de capa vegetal.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0300 h/m² | MO-AYU · apoyo general de obra · 0.0450 h/m²;0.0000;0.0750;0.0750;0.0280;3;1;MQ-RETRO;1.27;1.65;704;CT-03-01-030;
03.01.01.040;03;Retiro de raíces y obstáculos menores enterrados.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0800 h/m² | MO-AYU · apoyo general de obra · 0.1100 h/m²;0.0000;0.1900;0.1900;0.0700;6;4;MQ-RETRO,MQ-SIERRA,MT-CONS-DEM,MT-SAC-ESC;2.20;2.86;693;CT-03-01-040;
03.01.01.050;03;Desbroce de vegetación arbustiva.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.0500 h/m2 | MO-AYU · apoyo general de obra · 0.0500 h/m2;0.0000;0.1000;0.1000;0.0200;4;2;MQ-DESBROZ,MT-CONS-DEM;0.54;0.71;135;;
03.01.01.060;03;Desbroce con retiro de capa vegetal.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.0800 h/m2 | MO-AYU · apoyo general de obra · 0.0800 h/m2;0.0000;0.1600;0.1600;0.0600;5;3;MQ-DESBROZ,MQ-RETRO,MT-CONS-DEM;1.91;2.49;130;;
03.01.01.070;03;Retiro de obstáculos y escombros superficiales.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1000 h/m2 | MO-AYU · apoyo general de obra · 0.1000 h/m2;0.0000;0.2000;0.2000;0.0500;5;3;MQ-RETRO,MQ-VOLQ,MT-CONS-DEM;2.40;3.12;134;;
03.01.01.080;03;Limpieza de terreno en pendiente.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1000 h/m2 | MO-AYU · apoyo general de obra · 0.1000 h/m2;0.0000;0.2000;0.2000;0.0300;4;2;MQ-DESBROZ,MT-CONS-DEM;1.01;1.31;121;;
03.01.01.090;03;Retiro de tocones de árboles.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.4000 h/m2 | MO-AYU · apoyo general de obra · 0.4000 h/m2;0.0000;0.8000;0.8000;0.2500;5;3;MQ-RETRO,MQ-VOLQ,MT-CONS-DEM;10.48;13.63;111;;
03.01.01.100;03;Descapote de terreno con topografía.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.0800 h/m2 | MO-AYU · apoyo general de obra · 0.0800 h/m2;0.0000;0.1600;0.1600;0.0600;5;3;MQ-NIVEL-LASER,MQ-RETRO,MT-CONS-DEM;2.20;2.86;134;;
03.01.01.110;03;Limpieza de terreno con escombros de demolición.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1500 h/m2 | MO-AYU · apoyo general de obra · 0.1500 h/m2;0.0000;0.3000;0.3000;0.0800;5;3;MQ-RETRO,MQ-VOLQ,MT-CONS-DEM;3.73;4.84;114;;
03.01.01.120;03;Retiro de pavimento vegetal o grama.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.0600 h/m2 | MO-AYU · apoyo general de obra · 0.0600 h/m2;0.0000;0.1200;0.1200;0.0200;4;2;MQ-DESBROZ,MT-CONS-DEM;0.62;0.81;116;;
03.01.01.130;03;Limpieza de terreno con maleza alta.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.0800 h/m2 | MO-AYU · apoyo general de obra · 0.0800 h/m2;0.0000;0.1600;0.1600;0.0400;4;2;MQ-DESBROZ,MT-CONS-DEM;0.88;1.15;123;;
03.01.01.140;03;Retiro de capa de asfalto superficial.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.2000 h/m2 | MO-AYU · apoyo general de obra · 0.2000 h/m2;0.0000;0.4000;0.4000;0.1000;5;3;MQ-RETRO,MQ-VOLQ,MT-CONS-DEM;4.70;6.11;122;;
03.02.01.010;03;Excavación mecanizada a cielo abierto.;m³;MO-AYU-ESP · apoyo especializado de obra · 0.1200 h/m³ | MO-AYU · apoyo general de obra · 0.1800 h/m³;0.0000;0.3000;0.3000;0.1000;4;2;MQ-NIVEL-LASER,MQ-RETRO;3.99;5.19;593;CT-03-02-040;
03.02.01.020;03;Excavación en material duro o roca.;m³;MO-AYU-ESP · apoyo especializado de obra · 0.5000 h/m³ | MO-AYU · apoyo general de obra · 0.6000 h/m³;0.0000;1.1000;1.1000;0.7200;5;3;MQ-MART-NEUM,MQ-RETRO,MT-CONS-DEM;23.24;30.21;722;CT-03-02-050;
03.02.01.030;03;Excavación para tanque séptico, sumidero o tanque enterrado.;m³;MO-AYU-ESP · apoyo especializado de obra · 0.3200 h/m³ | MO-AYU · apoyo general de obra · 0.4800 h/m³;0.0000;0.8000;0.8000;0.1500;5;2;MQ-RETRO,MT-CONS-DEM;9.43;12.25;693;CT-03-02-060;
03.02.01.040;03;Perfilado y compactación del fondo de excavación.;m²;MO-AYU-ESP · apoyo especializado de obra · 0.0700 h/m² | MO-AYU · apoyo general de obra · 0.0900 h/m²;0.0000;0.1600;0.1600;0.0550;4;2;MQ-PLANCHA-COMP,MT-AGUA-OBRA;0.84;1.10;482;CT-03-02-080;
03.02.01.050;03;Achicamiento de agua en excavación.;hora;MO-AYU · apoyo general de obra · 0.2500 h/hora;0.0000;0.2500;0.2500;1.0000;2;1;MQ-BOMBA-ACHI;3.31;4.30;550;CT-03-02-090;
03.02.01.060;03;Excavación manual en interiores.;m³;MO-AYU-ESP · apoyo especializado de obra · 1.3000 h/m³ | MO-AYU · apoyo general de obra · 2.4000 h/m³;0.0000;3.7000;3.7000;0.1200;6;3;MQ-ASPIR,MT-CONS-DEM,MT-SAC-ESC;15.66;20.35;570;CT-03-02-100;
03.02.01.070;03;Excavación a cielo abierto en terreno blando.;m3;MO-AYU-ESP · apoyo especializado de obra · 0.1000 h/m3 | MO-AYU · apoyo general de obra · 0.1000 h/m3;0.0000;0.2000;0.2000;0.1300;5;3;MQ-RETRO,MQ-VOLQ,MT-CONS-DEM;4.61;5.99;125;;3
03.02.01.080;03;Excavación a cielo abierto en terreno duro.;m3;MO-AYU-ESP · apoyo especializado de obra · 0.1500 h/m3 | MO-AYU · apoyo general de obra · 0.1500 h/m3;0.0000;0.3000;0.3000;0.2000;5;3;MQ-RETRO,MQ-VOLQ,MT-CONS-DEM;7.00;9.10;123;;
03.02.01.090;03;Excavación a cielo abierto con taludes.;m3;MO-AYU-ESP · apoyo especializado de obra · 0.1200 h/m3 | MO-AYU · apoyo general de obra · 0.1200 h/m3;0.0000;0.2400;0.2400;0.1600;5;3;MQ-RETRO,MQ-VOLQ,MT-CONS-DEM;5.67;7.37;124;;3
03.02.01.100;03;Perfilado y limpieza de fondo de excavación.;m2;MO-AYU-ESP · apoyo especializado de obra · 0.1000 h/m2 | MO-AYU · apoyo general de obra · 0.1000 h/m2;0.0000;0.2000;0.2000;0.0300;4;2;MQ-COMPACT-SALTO,MT-CONS-DEM;1.00;1.31;125;;
